Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
8810;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;33,84;179,97;867,45;180,09;830,33;857,41;77,88;0,75
8815;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,00;33,84;179,97;867,66;180,12;830,31;857,64;77,88;0,75
8820;0,00;0,00;0,00;0,00;48,99;0,00;70,99;80,00;33,85;179,97;866,82;180,13;830,16;857,01;77,88;0,75
8825;0,00;0,00;0,00;0,00;49,00;0,00;71,02;79,98;33,82;179,96;864,08;180,13;829,55;854,70;77,88;0,75
8830;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,02;33,84;179,96;862,47;180,12;829,15;853,36;77,88;0,75
8835;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,00;33,85;179,97;860,17;180,08;828,79;851,69;77,88;0,75
8840;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,84;179,97;860,22;180,05;828,92;851,76;77,88;0,75
8845;0,00;0,00;0,00;0,00;49,01;0,00;71,01;80,00;33,85;179,97;862,71;179,98;829,70;853,80;77,88;0,75
8850;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,86;179,98;864,72;179,95;830,10;855,32;77,88;0,75
8855;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,84;179,97;867,43;179,91;830,44;857,43;77,88;0,75
8860;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,85;179,95;867,83;179,90;830,47;857,77;77,88;0,75
8865;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,03;33,86;179,95;866,73;179,89;830,26;856,94;77,88;0,75
8870;0,00;0,00;0,00;0,00;49,00;0,00;70,99;79,98;33,85;179,95;863,97;179,90;830,00;855,87;77,88;0,75
8875;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,85;179,95;862,37;179,93;829,23;853,31;77,88;0,75
8880;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,85;179,96;860,13;179,95;828,95;852,19;77,88;0,75
8885;0,00;0,00;0,00;0,00;49,01;0,00;71,01;80,02;33,85;179,97;860,21;179,97;828,98;851,76;77,88;0,75
8890;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,02;33,86;179,99;862,78;179,97;829,29;852,57;77,88;0,75
8895;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,86;179,98;864,66;179,94;830,08;855,32;77,88;0,75
8900;0,00;0,00;0,00;0,00;49,00;0,00;70,98;79,98;33,87;179,95;867,48;179,93;830,30;856,58;77,88;0,75
8905;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,87;179,94;867,87;179,94;830,40;857,81;77,88;0,75
8910;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,00;33,87;179,91;866,83;179,99;830,34;857,64;77,88;0,75
8915;0,00;0,00;0,00;0,00;48,99;0,00;71,02;80,00;33,87;179,91;865,73;180,01;829,94;856,09;77,88;0,75
8920;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;33,87;179,94;862,74;180,06;829,15;854,93;77,88;0,75
8925;0,00;0,00;0,00;0,00;48,99;0,00;71,00;80,03;33,89;179,95;861,13;180,09;828,81;852,40;77,88;0,75
8930;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,03;33,89;179,98;860,10;180,14;828,76;851,71;77,88;0,75
8935;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,97;33,89;179,99;860,87;180,17;829,05;852,36;77,88;0,75
8940;0,00;0,00;0,00;0,00;49,01;0,00;71,02;80,02;33,89;179,95;864,37;180,21;829,88;855,05;77,88;0,75
8945;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,88;179,91;866,09;180,23;830,14;856,36;77,88;0,75
8950;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,90;179,89;867,85;180,23;830,29;857,78;77,88;0,75
8955;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,05;33,90;179,89;867,68;180,23;830,25;857,69;77,88;0,75
8960;0,00;0,00;0,00;0,00;49,00;0,00;71,02;79,98;33,90;179,90;865,81;180,21;829,84;856,16;77,88;0,75
8965;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,90;179,93;864,34;180,19;829,47;854,91;77,88;0,75
8970;0,00;0,00;0,00;0,00;49,02;0,00;71,00;80,00;33,89;179,94;861,13;180,16;828,74;852,39;77,88;0,75
8975;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,90;179,92;860,22;180,15;828,61;851,71;77,88;0,75
8980;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,02;33,88;179,91;860,95;180,14;828,99;852,35;77,88;0,75
8985;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,89;179,88;862,49;180,14;829,42;853,59;77,88;0,75
8990;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;33,88;179,88;866,11;180,16;830,12;856,41;77,88;0,75
8995;0,00;0,00;0,00;0,00;49,00;0,00;71,03;79,98;33,89;179,89;867,40;180,18;830,26;857,37;77,88;0,75
9000;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;33,86;179,91;867,75;180,21;830,27;857,74;77,88;0,75
9005;0,00;0,00;0,00;0,00;49,00;0,00;70,98;80,02;33,87;179,92;867,04;180,22;830,15;857,19;77,88;0,75
9010;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,88;179,91;864,31;180,25;829,57;854,92;77,88;0,75
9015;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,03;33,86;179,89;862,66;180,25;829,15;853,56;77,88;0,75
